,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT180x67,368,178,18,11.2,15.3,150.3,8520,67,15200000,75300000,101000,410000,188000,619000,845000,2230000000,139.7,WT7X45
H_SB_WT180x61,257,182,21.7,13,15.1,146.7,7740,61,17100000,30800000,117000,239000,216000,367000,1050000,1510000000,139.7,WT7X41
H_SB_WT180x55,257,180,19.9,11.4,15.2,146.5,7030,55,15000000,27800000,102000,218000,188000,331000,803000,1130000000,139.7,WT7X37
H_SB_WT180x50.5,254,178,18.3,10.5,15,145.2,6450,50.5,13600000,25300000,93200,198000,170000,302000,624000,862000000,139.7,WT7X34
H_SB_WT180x45.5,254,177,16.4,9.53,15.1,145.2,5780,45.5,12000000,22400000,83100,175000,150000,269000,454000,615000000,139.7,WT7X30.5
H_SB_WT180x39.5,205,177,16.8,9.4,15,141.9,5030,39.5,11500000,12000000,81000,117000,145000,180000,402000,392000000,139.7,WT7X26.5
H_SB_WT180x36,204,175,15.1,8.64,15.1,140.7,4560,36,10400000,10700000,73600,105000,131000,161000,301000,287000000,139.7,WT7X24
H_SB_WT180x32,203,173,13.5,7.75,14.9,139.7,4070,32,9120000,9410000,65200,92600,116000,142000,217000,202000000,139.7,WT7X21.5
H_SB_WT180x28.9,172,179,13.1,7.87,10.1,139.9,3600,28.9,9700000,5540000,69200,64600,122000,99500,166000,149000000,88.9,WT7X19
H_SB_WT180x25.5,171,178,11.6,7.24,10.1,139.1,3230,25.5,8700000,4830000,62800,56500,110000,87200,118000,107000000,88.9,WT7X17
H_SB_WT180x22,171,176,9.78,6.86,10.12,135.9,2850,22,7910000,4070000,58200,47700,102000,73600,79100,77100000,88.9,WT7X15
H_SB_WT180x19.5,128,177,10.7,6.48,10.1,133.3,2480,19.5,7200000,1850000,54200,29000,96500,45200,74500,55600000,69.85,WT7X13
H_SB_WT180x16.45,127,174,8.51,5.84,10.19,129.3,2100,16.5,6160000,1460000,47700,22900,85200,35900,43300,36000000,69.85,WT7X11
H_SB_WT155x250,340,214,75.2,45.2,15,155.3,31900,250,79100000,247000000,511000,1450000,1120000,2250000,49900000,1.29E+11,139.7,WT6X168
H_SB_WT155x227,335,207,68.8,41.4,15,152.1,28800,227,67400000,219000000,442000,1300000,968000,2000000,38300000,95600000000,139.7,WT6X152.5
H_SB_WT155x207.5,333,201,62.7,38.9,15.3,148.9,26500,208,58700000,195000000,395000,1170000,850000,1800000,29500000,71700000000,139.7,WT6X139.5
H_SB_WT155x187.5,330,196,57.2,35.6,15.2,147.2,23900,188,50400000,172000000,342000,1040000,734000,1600000,22300000,52400000000,139.7,WT6X126
H_SB_WT155x171,328,191,52.6,32.8,15.2,144.8,21800,171,44100000,154000000,303000,942000,646000,1450000,17300000,39700000000,139.7,WT6X115
H_SB_WT155x156.5,325,187,48.3,30,15.2,143.3,19900,156,38300000,138000000,269000,850000,565000,1310000,13400000,30100000000,139.7,WT6X105
H_SB_WT155x141.5,323,183,44.2,26.9,15,141.9,18100,142,32900000,123000000,233000,762000,488000,1170000,10100000,22000000000,139.7,WT6X95
H_SB_WT155x126.5,320,178,39.6,24.4,15.3,139.4,16100,126,28200000,108000000,202000,675000,420000,1030000,7370000,15700000000,139.7,WT6X85
H_SB_WT155x113,318,174,35.6,22.1,15.2,137.7,14500,113,24300000,94500000,177000,596000,361000,911000,5330000,11100000000,139.7,WT6X76
H_SB_WT155x101,315,170,31.8,20.1,15.2,135.7,12900,101,21100000,82800000,155000,526000,311000,801000,3830000,7760000000,139.7,WT6X68
H_SB_WT155x89.5,312,167,28.2,18,15,134.5,11400,89.5,18100000,71600000,135000,459000,265000,700000,2670000,5290000000,139.7,WT6X60
H_SB_WT155x79,310,164,25.1,15.5,15.3,133.8,10100,79,15100000,62900000,113000,405000,223000,615000,1890000,3650000000,139.7,WT6X53
H_SB_WT155x71.5,310,162,22.9,14,15.2,133.3,9100,71.5,13300000,56200000,100000,364000,195000,552000,1420000,2710000000,139.7,WT6X48
H_SB_WT155x64.5,307,159,20.6,13.1,15.2,131.1,8260,64.5,12000000,49900000,91800,326000,175000,495000,1060000,1970000000,139.7,WT6X43.5
H_SB_WT155x58.5,307,157,18.7,11.9,15.1,130.1,7480,58.5,10700000,45000000,82400,293000,156000,444000,795000,1460000000,139.7,WT6X39.5
H_SB_WT155x53.5,305,156,17,10.9,15.3,130.1,6840,53.5,9660000,40600000,74400,265000,139000,403000,608000,1090000000,139.7,WT6X36
H_SB_WT155x48.5,305,154,15.4,9.91,15.1,129,6150,48.5,8570000,36300000,66500,238000,123000,361000,454000,798000000,139.7,WT6X32.5
H_SB_WT155x43,254,155,16.3,9.14,15.2,128.8,5500,43,7950000,22300000,61600,175000,114000,265000,437000,559000000,139.7,WT6X29
H_SB_WT155x39.5,254,153,14.6,8.76,15.4,127.1,5020,39.5,7370000,19900000,58000,157000,106000,238000,328000,411000000,139.7,WT6X26.5
H_SB_WT155x37,205,155,16.3,9.4,12.7,125.3,4710,37,7780000,11700000,62100,114000,113000,174000,356000,330000000,139.7,WT6X25
H_SB_WT155x33.5,204,153,14.6,8.51,12.8,124.3,4230,33.5,6910000,10400000,55600,102000,100000,155000,261000,238000000,139.7,WT6X22.5
H_SB_WT155x30,203,152,13.1,7.49,12.8,124.3,3770,30,5990000,9160000,48300,90100,86500,137000,188000,166000000,139.7,WT6X20
H_SB_WT155x26,167,159,13.2,7.62,7.6,126,3340,26,6660000,5080000,52900,61100,93600,93900,154000,117000000,88.9,WT6X17.5
