AR, , , , ,형상제작(더미 포함),Cat.1, Cat.3 값 기반 보정 계산 산출(by Parameter),DYNAMO
가상 모델링 산출,카테고리 유무, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A01ZZ001,Earth Work,null,Excavation,M3,0,0,0,1,O,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00004,Structural Foundations>All element of Category,기초 하부면 외곽선 추출,1. 외곽선 오프셋 
  (최소폭 고려)
2. GL 레벨로 복사  
  (휴식각 고려)
3. Solid 작성,Solid의 부피산출, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,type 2, , 
A03AC050,Concrete Work,Substructure Work,Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Installation Only),TON,0,0,0,1,O, ,Structural Foundations>All element of Category, , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD029,Concrete Work,Superstructure Work,Anchor Bolt (Installation only),EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD030,Concrete Work,Superstructure Work,Chemical Anchor Bolt,EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD031,Concrete Work,Superstructure Work,Expansion Anchor Bolt,EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD032,Concrete Work,Superstructure Work,Structural Concrete,M3,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD035,Concrete Work,Superstructure Work,Form Work (3 times in use),M2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD036,Concrete Work,Superstructure Work,Form Work (1 time in use),M2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD037,Concrete Work,Superstructure Work,Rebar Work,TON,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD038,Concrete Work,Superstructure Work,Welded Wire Fabric,M2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD039,Concrete Work,Superstructure Work,Expansion Joint (Exposed Type),M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD040,Concrete Work,Superstructure Work,Expansion Joint (w/ Aluminum Cover),M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
